date,time,place,item,type,recyclability,sorted_status
2024-05-10,13:33,lobby,paper cup,Paper,Recyclable,Sorted
2024-03-21,14:20,par14,coffee cup,Paper,Recyclable,Sorted
2024-06-05,13:10,par14,food,Organic,bio-degradable,Unsorted
2024-02-19,14:43,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-06-05,12:48,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-01-30,12:31,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-06-06,17:36,par14,banana peel,Organic,bio-degradable,Sorted
2024-04-26,11:59,par14,glass bottle,Glass,Recyclable,Unsorted
2024-05-15,15:50,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-05-21,13:05,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-04-25,12:21,par13,drink can,Metal,Recyclable,Sorted
2024-05-21,13:16,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-01,12:39,vending machine,carton,Paper,Recyclable,Sorted
2024-02-20,12:46,par14,plastic film,Plastic,non-recyclable,Sorted
2024-01-05,13:10,vending machine,cardboard,Paper,Recyclable,Sorted
2024-02-27,11:55,par14,glass bottle,Glass,Recyclable,Sorted
2024-04-16,13:11,par13,paper,Paper,Recyclable,Unsorted
2024-02-15,16:02,par14,carton,Paper,Recyclable,Unsorted
2024-01-22,12:31,par14,paper cup,Paper,Recyclable,Unsorted
2024-02-20,11:24,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-19,13:13,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-04-04,11:55,par13,carton,Paper,Recyclable,Unsorted
2024-03-14,18:38,lobby,paper,Paper,Recyclable,Unsorted
2024-01-05,15:56,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-02-26,13:12,par6,drink can,Metal,Recyclable,Unsorted
2024-02-21,12:37,par14,carton,Paper,Recyclable,Unsorted
2024-02-22,12:18,par14,food,Organic,bio-degradable,Sorted
2024-02-08,12:00,lobby,cardboard,Paper,Recyclable,Unsorted
2024-04-19,13:54,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-02-28,11:09,par14,banana peel,Organic,bio-degradable,Sorted
2024-04-26,12:31,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-31,12:36,par6,glass bottle,Glass,Recyclable,Unsorted
2024-05-30,12:25,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-17,10:38,par6,food,Organic,bio-degradable,Unsorted
2024-06-12,11:06,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-08,13:13,par6,cardboard,Paper,Recyclable,Unsorted
2024-02-27,13:20,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-05-13,12:17,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-30,13:10,vending machine,paper,Paper,Recyclable,Unsorted
2024-02-23,16:34,lobby,glass bottle,Glass,Recyclable,Sorted
2024-02-20,12:16,lobby,cardboard,Paper,Recyclable,Sorted
2024-02-29,18:15,par14,cardboard,Paper,Recyclable,Unsorted
2024-05-24,12:38,par6,drink can,Metal,Recyclable,Sorted
2024-05-01,10:34,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-05-24,13:15,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-03-13,12:49,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-01,11:55,par14,drink can,Metal,Recyclable,Sorted
2024-02-12,11:29,par6,paper cup,Paper,Recyclable,Unsorted
2024-04-11,11:26,lobby,paper,Paper,Recyclable,Unsorted
2024-04-26,15:46,par14,drink can,Metal,Recyclable,Sorted
2024-01-26,11:02,lobby,carton,Paper,Recyclable,Sorted
2024-02-13,11:36,lobby,carton,Paper,Recyclable,Sorted
2024-04-26,09:58,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-12,15:54,par6,banana peel,Organic,bio-degradable,Unsorted
2024-04-12,12:50,par13,banana peel,Organic,bio-degradable,Unsorted
2024-01-01,11:43,lobby,paper,Paper,Recyclable,Sorted
2024-02-19,13:06,par14,banana peel,Organic,bio-degradable,Sorted
2024-05-20,10:50,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-28,12:13,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-05,11:44,par14,banana peel,Organic,bio-degradable,Unsorted
2024-04-24,13:43,par14,coffee cup,Paper,Recyclable,Unsorted
2024-04-04,14:06,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-04-25,17:56,vending machine,paper,Paper,Recyclable,Unsorted
2024-02-19,12:54,par14,drink can,Metal,Recyclable,Unsorted
2024-01-01,12:14,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-20,12:07,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-12,15:35,par14,food,Organic,bio-degradable,Sorted
2024-04-15,12:04,par6,paper cup,Paper,Recyclable,Unsorted
2024-02-07,13:35,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-13,17:46,par14,drink can,Metal,Recyclable,Sorted
2024-03-25,12:58,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-05-28,15:49,par13,drink can,Metal,Recyclable,Unsorted
2024-04-19,13:06,vending machine,plastic film,Plastic,non-recyclable,Unsorted
2024-04-08,19:02,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-05-02,13:08,par13,coffee cup,Paper,Recyclable,Unsorted
2024-04-15,13:59,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-26,12:29,par14,carton,Paper,Recyclable,Sorted
2024-04-08,12:12,lobby,drink can,Metal,Recyclable,Sorted
2024-04-02,14:12,vending machine,glass bottle,Glass,Recyclable,Unsorted
2024-05-16,13:18,par13,paper,Paper,Recyclable,Unsorted
2024-05-15,16:22,par6,coffee cup,Paper,Recyclable,Unsorted
2024-03-20,13:27,par14,plastic film,Plastic,non-recyclable,Sorted
2024-06-11,12:35,lobby,paper cup,Paper,Recyclable,Sorted
2024-06-12,12:05,par14,paper cup,Paper,Recyclable,Sorted
2024-01-19,12:20,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-27,09:55,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-12,11:49,par14,plastic film,Plastic,non-recyclable,Sorted
2024-03-13,13:12,par14,wrapper,Plastic,non-recyclable,Sorted
2024-05-29,15:16,par6,cardboard,Paper,Recyclable,Sorted
2024-02-02,12:30,par14,plastic film,Plastic,non-recyclable,Sorted
2024-03-07,13:34,par14,carton,Paper,Recyclable,Unsorted
2024-02-06,12:41,vending machine,coffee cup,Paper,Recyclable,Sorted
2024-03-05,16:32,par6,banana peel,Organic,bio-degradable,Unsorted
2024-06-07,13:13,vending machine,drink can,Metal,Recyclable,Unsorted
2024-04-09,10:38,par6,coffee cup,Paper,Recyclable,Unsorted
2024-02-14,13:03,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-01,12:06,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-12,13:05,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-26,10:44,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-06,13:19,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-12,13:03,lobby,paper cup,Paper,Recyclable,Unsorted
2024-04-30,13:55,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-23,12:43,vending machine,glass bottle,Glass,Recyclable,Unsorted
2024-06-04,12:12,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-05-15,13:12,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-20,12:44,vending machine,paper cup,Paper,Recyclable,Sorted
2024-02-08,12:50,par13,food,Organic,bio-degradable,Unsorted
2024-02-08,12:33,lobby,drink can,Metal,Recyclable,Unsorted
2024-03-12,09:49,par14,coffee cup,Paper,Recyclable,Unsorted
2024-03-13,12:29,lobby,paper,Paper,Recyclable,Unsorted
2024-01-30,09:56,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-09,11:52,vending machine,paper cup,Paper,Recyclable,Sorted
2024-03-18,12:42,lobby,paper,Paper,Recyclable,Sorted
2024-02-08,13:23,vending machine,wrapper,Plastic,non-recyclable,Unsorted
2024-01-16,12:01,lobby,carton,Paper,Recyclable,Unsorted
2024-01-05,12:24,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-03-15,12:01,vending machine,glass bottle,Glass,Recyclable,Unsorted
2024-02-13,15:30,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-29,12:14,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-03-07,12:24,lobby,glass bottle,Glass,Recyclable,Sorted
2024-01-29,13:57,par6,plastic film,Plastic,non-recyclable,Sorted
2024-06-10,17:11,par13,cardboard,Paper,Recyclable,Unsorted
2024-03-25,12:20,lobby,paper cup,Paper,Recyclable,Sorted
2024-03-21,17:17,par6,coffee cup,Paper,Recyclable,Sorted
2024-02-08,10:29,par6,food,Organic,bio-degradable,Unsorted
2024-02-26,15:03,par6,cardboard,Paper,Recyclable,Unsorted
2024-05-29,15:23,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-13,12:48,lobby,paper,Paper,Recyclable,Unsorted
2024-05-22,12:39,lobby,paper cup,Paper,Recyclable,Unsorted
2024-04-03,15:56,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-23,17:50,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-05-28,11:25,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-06-11,13:11,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-08,12:35,vending machine,paper cup,Paper,Recyclable,Sorted
2024-06-13,11:47,par6,drink can,Metal,Recyclable,Sorted
2024-01-11,12:51,vending machine,coffee cup,Paper,Recyclable,Unsorted
2024-04-25,13:19,vending machine,wrapper,Plastic,non-recyclable,Sorted
2024-04-10,12:40,par6,coffee cup,Paper,Recyclable,Unsorted
2024-01-09,12:23,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-04-26,18:57,vending machine,drink can,Metal,Recyclable,Sorted
2024-04-29,12:19,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-05-01,13:23,par14,paper,Paper,Recyclable,Unsorted
2024-05-13,12:12,lobby,banana peel,Organic,bio-degradable,Sorted
2024-03-11,12:39,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-03-11,11:02,par13,paper cup,Paper,Recyclable,Sorted
2024-03-08,12:55,par13,coffee cup,Paper,Recyclable,Unsorted
2024-06-06,17:43,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-19,12:36,par14,carton,Paper,Recyclable,Unsorted
2024-01-12,11:57,par13,paper cup,Paper,Recyclable,Sorted
2024-06-12,13:15,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-25,11:53,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-05-21,09:19,par14,carton,Paper,Recyclable,Unsorted
2024-02-08,12:24,lobby,banana peel,Organic,bio-degradable,Sorted
2024-04-15,10:07,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-01-23,13:13,par13,drink can,Metal,Recyclable,Sorted
2024-02-02,12:39,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-06-05,10:58,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-12,12:36,lobby,food,Organic,bio-degradable,Sorted
2024-04-26,12:09,lobby,drink can,Metal,Recyclable,Sorted
2024-05-15,12:25,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-06-07,13:02,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-06-10,15:27,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-13,13:09,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-11,13:26,par14,paper,Paper,Recyclable,Unsorted
2024-05-22,12:56,par6,food,Organic,bio-degradable,Sorted
2024-03-08,12:04,par14,paper cup,Paper,Recyclable,Sorted
2024-01-30,10:26,par6,cardboard,Paper,Recyclable,Unsorted
2024-05-28,15:36,par13,drink can,Metal,Recyclable,Unsorted
2024-06-10,16:11,lobby,carton,Paper,Recyclable,Sorted
2024-04-09,12:54,lobby,carton,Paper,Recyclable,Unsorted
2024-06-07,12:47,par13,banana peel,Organic,bio-degradable,Unsorted
2024-06-06,13:24,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-29,10:45,par6,cardboard,Paper,Recyclable,Sorted
2024-04-12,13:30,par6,carton,Paper,Recyclable,Sorted
2024-03-15,12:54,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-05-28,12:48,par14,plastic film,Plastic,non-recyclable,Sorted
2024-03-01,13:12,vending machine,cardboard,Paper,Recyclable,Unsorted
2024-02-09,11:34,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-05-23,13:14,par6,glass bottle,Glass,Recyclable,Sorted
2024-03-21,13:16,par14,coffee cup,Paper,Recyclable,Sorted
2024-03-05,12:19,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-03-29,10:32,lobby,carton,Paper,Recyclable,Sorted
2024-02-02,12:31,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-10,15:19,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-04-05,12:31,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-04,12:54,vending machine,wrapper,Plastic,non-recyclable,Unsorted
2024-05-15,15:11,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-05-06,17:37,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-18,13:08,par14,glass bottle,Glass,Recyclable,Sorted
2024-02-16,15:29,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-05,12:22,par14,glass bottle,Glass,Recyclable,Unsorted
2024-05-15,12:40,vending machine,paper,Paper,Recyclable,Unsorted
2024-02-05,13:07,lobby,banana peel,Organic,bio-degradable,Sorted
2024-04-30,12:00,par6,paper,Paper,Recyclable,Sorted
2024-01-15,13:03,par14,coffee cup,Paper,Recyclable,Sorted
2024-04-04,14:49,par14,drink can,Metal,Recyclable,Unsorted
2024-02-08,12:58,lobby,drink can,Metal,Recyclable,Unsorted
2024-04-24,12:43,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-06-07,10:54,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-03-22,12:00,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-19,13:04,par6,cardboard,Paper,Recyclable,Sorted
2024-01-02,12:30,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-02-08,11:46,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-01,11:50,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-03-18,19:10,vending machine,paper,Paper,Recyclable,Unsorted
2024-06-11,13:00,par14,coffee cup,Paper,Recyclable,Unsorted
2024-04-24,12:50,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-06-06,12:57,lobby,drink can,Metal,Recyclable,Sorted
2024-04-19,12:46,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-02-20,12:59,par6,glass bottle,Glass,Recyclable,Sorted
2024-02-21,12:41,lobby,plastic film,Plastic,non-recyclable,Sorted
2024-06-04,11:53,par13,coffee cup,Paper,Recyclable,Unsorted
2024-02-23,12:35,vending machine,drink can,Metal,Recyclable,Unsorted
2024-05-21,14:07,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-05-28,12:25,par6,glass bottle,Glass,Recyclable,Unsorted
2024-03-04,12:37,vending machine,paper cup,Paper,Recyclable,Sorted
2024-05-14,15:03,lobby,drink can,Metal,Recyclable,Unsorted
2024-02-29,12:35,lobby,paper,Paper,Recyclable,Sorted
2024-03-12,12:33,vending machine,paper cup,Paper,Recyclable,Unsorted
2024-06-14,12:58,par13,paper,Paper,Recyclable,Unsorted
2024-05-30,12:04,par13,banana peel,Organic,bio-degradable,Unsorted
2024-03-15,15:17,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-16,11:59,par14,paper cup,Paper,Recyclable,Sorted
2024-05-20,12:37,par6,plastic film,Plastic,non-recyclable,Sorted
2024-05-13,13:35,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-01-31,11:42,par14,paper cup,Paper,Recyclable,Unsorted
2024-06-03,14:14,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-05-30,13:13,par6,paper cup,Paper,Recyclable,Unsorted
2024-04-02,13:06,par14,paper cup,Paper,Recyclable,Unsorted
2024-04-22,16:53,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-28,11:49,par14,drink can,Metal,Recyclable,Sorted
2024-02-26,13:40,par6,coffee cup,Paper,Recyclable,Sorted
2024-04-26,12:52,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-02-02,11:11,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-27,14:28,lobby,paper,Paper,Recyclable,Unsorted
2024-04-11,12:49,par6,drink can,Metal,Recyclable,Sorted
2024-01-31,11:52,vending machine,cardboard,Paper,Recyclable,Unsorted
2024-06-04,11:32,par14,glass bottle,Glass,Recyclable,Unsorted
2024-02-09,11:25,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-05,12:10,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-03-06,11:57,par13,carton,Paper,Recyclable,Sorted
2024-02-05,12:52,par13,coffee cup,Paper,Recyclable,Unsorted
2024-01-09,12:20,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-27,12:17,vending machine,paper,Paper,Recyclable,Sorted
2024-06-06,12:37,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-01-19,12:45,par14,plastic film,Plastic,non-recyclable,Sorted
2024-01-03,12:39,par14,cardboard,Paper,Recyclable,Unsorted
2024-05-16,17:27,par14,drink can,Metal,Recyclable,Sorted
2024-05-07,12:37,lobby,glass bottle,Glass,Recyclable,Sorted
2024-01-19,10:21,par6,banana peel,Organic,bio-degradable,Sorted
2024-03-04,17:37,par6,plastic film,Plastic,non-recyclable,Sorted
2024-01-12,15:49,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-26,11:47,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-19,12:08,lobby,glass bottle,Glass,Recyclable,Sorted
2024-05-23,12:32,par6,food,Organic,bio-degradable,Unsorted
2024-06-04,10:49,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-31,13:30,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-03-11,13:45,par14,drink can,Metal,Recyclable,Unsorted
2024-03-18,12:31,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-04-04,12:54,vending machine,coffee cup,Paper,Recyclable,Unsorted
2024-05-20,12:17,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-06-10,13:02,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-22,13:17,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-04-17,12:40,par14,banana peel,Organic,bio-degradable,Sorted
2024-01-24,13:50,par13,cardboard,Paper,Recyclable,Unsorted
2024-02-22,12:28,par13,drink can,Metal,Recyclable,Unsorted
2024-03-01,13:03,par13,clear water bottle,Plastic,Recyclable,Sorted
2024-02-20,13:12,par6,carton,Paper,Recyclable,Sorted
2024-03-28,12:34,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-08,10:25,par13,glass bottle,Glass,Recyclable,Unsorted
2024-01-05,17:19,vending machine,paper,Paper,Recyclable,Unsorted
2024-01-26,13:16,vending machine,banana peel,Organic,bio-degradable,Unsorted
2024-03-11,12:25,par13,glass bottle,Glass,Recyclable,Unsorted
2024-05-17,18:16,par14,carton,Paper,Recyclable,Unsorted
2024-02-26,12:20,par6,banana peel,Organic,bio-degradable,Sorted
2024-02-05,13:27,par6,cardboard,Paper,Recyclable,Sorted
2024-04-25,13:00,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-02-27,12:43,par13,glass bottle,Glass,Recyclable,Unsorted
2024-04-05,12:53,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-01-15,11:46,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-13,12:40,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-03,12:30,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-01-18,12:07,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-04-15,11:34,par6,coffee cup,Paper,Recyclable,Unsorted
2024-05-08,13:04,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-06,12:35,lobby,wrapper,Plastic,non-recyclable,Unsorted
2024-04-24,10:30,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-02-05,11:34,par13,cardboard,Paper,Recyclable,Unsorted
2024-05-22,12:26,lobby,paper cup,Paper,Recyclable,Unsorted
2024-02-14,14:53,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-24,12:42,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-05-02,13:19,par14,glass bottle,Glass,Recyclable,Unsorted
2024-01-31,11:54,par6,drink can,Metal,Recyclable,Unsorted
2024-01-04,13:06,par13,cardboard,Paper,Recyclable,Unsorted
2024-02-23,10:45,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-06,15:11,vending machine,drink can,Metal,Recyclable,Unsorted
2024-01-26,12:46,par13,banana peel,Organic,bio-degradable,Unsorted
2024-02-28,10:26,par13,glass bottle,Glass,Recyclable,Sorted
2024-04-22,12:23,lobby,drink can,Metal,Recyclable,Sorted
2024-04-29,13:10,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-28,12:37,par6,wrapper,Plastic,non-recyclable,Sorted
2024-04-16,12:47,vending machine,paper cup,Paper,Recyclable,Sorted
2024-05-30,12:29,par14,coffee cup,Paper,Recyclable,Unsorted
2024-01-11,12:56,par14,coffee cup,Paper,Recyclable,Sorted
2024-03-18,12:27,par6,glass bottle,Glass,Recyclable,Sorted
2024-01-23,13:23,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-17,12:44,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-06,13:04,lobby,drink can,Metal,Recyclable,Unsorted
2024-02-06,13:28,vending machine,paper cup,Paper,Recyclable,Sorted
2024-03-04,13:01,par14,glass bottle,Glass,Recyclable,Sorted
2024-05-28,18:08,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-09,13:04,vending machine,food,Organic,bio-degradable,Sorted
2024-02-19,18:08,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-02-21,12:37,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-29,12:49,par6,paper,Paper,Recyclable,Sorted
2024-04-23,18:24,par14,glass bottle,Glass,Recyclable,Sorted
2024-02-22,12:11,par6,banana peel,Organic,bio-degradable,Sorted
2024-06-03,12:15,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-05,11:30,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-17,11:29,par6,cardboard,Paper,Recyclable,Sorted
2024-04-19,11:31,par6,coffee cup,Paper,Recyclable,Sorted
2024-01-05,13:19,vending machine,coffee cup,Paper,Recyclable,Unsorted
2024-03-14,12:41,lobby,paper,Paper,Recyclable,Unsorted
2024-01-15,12:05,par14,drink can,Metal,Recyclable,Unsorted
2024-06-14,13:19,par6,banana peel,Organic,bio-degradable,Sorted
2024-04-10,15:48,par6,carton,Paper,Recyclable,Sorted
2024-05-07,11:08,par6,food,Organic,bio-degradable,Sorted
2024-05-27,18:44,par13,cardboard,Paper,Recyclable,Unsorted
2024-05-23,12:01,par14,banana peel,Organic,bio-degradable,Sorted
2024-02-14,11:54,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-06-05,12:57,lobby,paper cup,Paper,Recyclable,Sorted
2024-02-22,10:48,vending machine,food,Organic,bio-degradable,Unsorted
2024-05-23,09:25,vending machine,food,Organic,bio-degradable,Sorted
2024-02-22,10:28,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-03-25,12:35,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-09,15:24,par6,coffee cup,Paper,Recyclable,Sorted
2024-04-22,11:49,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-05-08,13:06,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-18,10:21,par14,coffee cup,Paper,Recyclable,Unsorted
2024-03-29,10:20,par13,coffee cup,Paper,Recyclable,Unsorted
2024-05-24,15:52,par13,cardboard,Paper,Recyclable,Sorted
2024-05-27,15:37,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-20,15:55,par13,banana peel,Organic,bio-degradable,Unsorted
2024-05-23,13:46,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-04-11,13:01,par14,food,Organic,bio-degradable,Unsorted
2024-05-14,11:52,par13,glass bottle,Glass,Recyclable,Unsorted
2024-02-19,10:03,par13,banana peel,Organic,bio-degradable,Unsorted
2024-01-12,14:34,lobby,cardboard,Paper,Recyclable,Sorted
2024-02-13,14:39,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-12,12:33,lobby,food,Organic,bio-degradable,Unsorted
2024-05-06,13:10,vending machine,carton,Paper,Recyclable,Unsorted
2024-04-15,12:10,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-04-22,12:08,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-22,15:34,lobby,paper cup,Paper,Recyclable,Sorted
2024-03-05,11:42,lobby,drink can,Metal,Recyclable,Sorted
2024-03-19,12:35,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-01,14:58,par14,banana peel,Organic,bio-degradable,Sorted
2024-03-19,12:51,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-05-02,12:31,vending machine,drink can,Metal,Recyclable,Sorted
2024-02-28,12:01,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-01-02,15:54,lobby,paper,Paper,Recyclable,Unsorted
2024-02-05,12:45,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-16,12:15,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-30,12:51,par14,carton,Paper,Recyclable,Unsorted
2024-03-20,12:43,par6,glass bottle,Glass,Recyclable,Unsorted
2024-01-26,13:23,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-02-23,12:40,par6,plastic film,Plastic,non-recyclable,Sorted
2024-02-08,12:38,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-01-12,13:05,lobby,paper cup,Paper,Recyclable,Sorted
2024-06-07,13:09,par6,drink can,Metal,Recyclable,Unsorted
2024-04-04,16:00,vending machine,wrapper,Plastic,non-recyclable,Sorted
2024-03-18,09:58,par13,food,Organic,bio-degradable,Unsorted
2024-03-05,13:10,par6,wrapper,Plastic,non-recyclable,Sorted
2024-06-12,10:09,lobby,glass bottle,Glass,Recyclable,Sorted
2024-05-08,13:40,par13,cardboard,Paper,Recyclable,Unsorted
2024-04-23,13:23,par14,paper cup,Paper,Recyclable,Unsorted
2024-03-21,12:28,par13,food,Organic,bio-degradable,Unsorted
2024-01-29,12:10,par14,drink can,Metal,Recyclable,Sorted
2024-05-21,13:01,lobby,banana peel,Organic,bio-degradable,Sorted
2024-06-10,12:42,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-01-09,13:05,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-26,13:20,par14,drink can,Metal,Recyclable,Sorted
2024-05-06,10:42,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-03-19,13:39,par13,paper,Paper,Recyclable,Unsorted
2024-05-08,13:34,par6,paper cup,Paper,Recyclable,Unsorted
2024-02-23,13:32,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-22,11:50,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-26,12:14,par6,paper cup,Paper,Recyclable,Unsorted
2024-04-02,18:43,lobby,paper,Paper,Recyclable,Sorted
2024-04-29,17:54,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-03-05,18:01,lobby,clear water bottle,Plastic,Recyclable,Unsorted
